Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,No,Travel_Rarely,642.0,Research & Development,1,3.0,Life Sciences,1999,4,Male,76.0,3.0,1.0,Research Scientist,4,Married,2782.0,21412.0,3,No,22.0,4.0,1.0,1.0,12,3.0,3,5,3.0,1.0,0.0
36,No,Travel_Rarely,559.0,Research & Development,12,4.0,Life Sciences,1614,3,Female,76.0,3.0,2.0,Manufacturing Director,3,Married,4663.0,12421.0,9,Yes,12.0,3.0,2.0,2.0,7,2.0,3,3,2.0,1.0,1.0
40,No,Travel_Rarely,1342.0,Sales,9,2.0,Medical,1548,1,Male,47.0,3.0,2.0,Sales Executive,1,Married,5473.0,19345.0,0,No,12.0,3.0,4.0,0.0,9,5.0,4,8,4.0,7.0,1.0
52,Yes,Travel_Rarely,723.0,Research & Development,8,4.0,Medical,433,3,Male,85.0,2.0,2.0,Research Scientist,2,Married,4941.0,17747.0,2,No,15.0,3.0,1.0,0.0,11,3.0,2,8,2.0,7.0,7.0
58,Yes,Travel_Frequently,781.0,Research & Development,2,1.0,Life Sciences,918,4,Male,57.0,2.0,1.0,Laboratory Technician,4,Divorced,2380.0,13384.0,9,Yes,14.0,3.0,4.0,1.0,10,3.0,2,1,0.0,0.0,0.0
35,No,Travel_Rarely,463.0,Research & Development,14,1.0,Life Sciences,2169,2,Female,54.0,3.0,1.0,Research Scientist,4,Single,3453.0,17242.0,3,No,15.0,3.0,1.0,0.0,2,4.0,3,1,2.0,0.0,2.0
57,No,Travel_Rarely,210.0,Sales,29,3.0,Marketing,568,1,Male,56.0,2.0,4.0,Manager,4,Divorced,14118.0,22102.0,3,No,12.0,3.0,3.0,1.0,32,3.0,2,1,0.0,0.0,0.0
28,No,Travel_Rarely,1369.0,Research & Development,6,1.0,Medical,2460,3,Male,87.0,3.0,1.0,Laboratory Technician,1,Single,4724.0,16210.0,1,Yes,15.0,3.0,4.0,0.0,9,3.0,3,13,9.0,1.0,5.0
50,No,Travel_Rarely,1325.0,Research & Development,0,3.0,Life Sciences,2399,3,Female,92.0,2.0,1.0,Laboratory Technician,4,Single,3214.0,3299.0,2,No,16.0,3.0,2.0,0.0,3,3.0,2,4,2.0,2.0,2.0
33,No,Travel_Frequently,508.0,Sales,10,3.0,Marketing,446,2,Male,46.0,2.0,2.0,Sales Executive,4,Single,4682.0,4317.0,3,No,14.0,3.0,3.0,0.0,9,6.0,2,7,7.0,0.0,1.0
